url,title,date,thumbnail,content,celebrity,source,attribution,relevance_score,relevance_reason
https://www.koreaherald.com/article/10416473,CJ ENM eyes global market with estimated W1.15tr investment,2025-02-10,https://wimg.heraldcorp.com/news/cms/2025/02/10/news-p.v1.20250210.afb36620b1cd4223b4b9ef252788dae7_T1.jpg?type=h&h=240,"Lee Jung-jae of 'Squid Game' to star in romance series, hit drama 'Signal' confirms second season for 2026
South Korean entertainment powerhouse CJ ENM, which owns cable channel tvN and streaming platform Tving, aims to expand globally this year with an estimated 1.",leejungjae,Korea Herald,"{'originalSource': 'Korea Herald', 'originalUrl': 'https://www.koreaherald.com/article/10416473', 'publicationDate': '2025-02-10', 'accessDate': '2025-02-27T12:04:38.597734', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",4.0,"The article directly mentions Lee Jung-jae by name, specifically noting his connection to ""Squid Game"" and stating he will star in an upcoming romance series. This information is directly relevant to his career as an actor, which is one of his primary professional roles. While the article appears to be primarily about CJ ENM's investment and global expansion plans, Lee Jung-jae's involvement in their upcoming projects makes this moderately to highly relevant to him professionally. The article does not appear to address his work as a director, model, or businessman."
https://www.koreaherald.com/article/10416214,'Squid Game' wins best foreign language series at Critics Choice Awards,2025-02-10,https://wimg.heraldcorp.com/news/cms/2025/02/10/news-p.v1.20250210.f2267ab0d69841f0b1028129e3e44c18_T1.jpg?type=h&h=240,"After becoming first Korean series to win CCA in 2022, 'Squid Game' clinches second honor
""Squid Game"" Season 2 nabbed best foreign language series at the 2025 Critics Choice Awards, held Friday evening in Los Angeles.",leejungjae,Korea Herald,"{'originalSource': 'Korea Herald', 'originalUrl': 'https://www.koreaherald.com/article/10416214', 'publicationDate': '2025-02-10', 'accessDate': '2025-02-27T12:04:38.598661', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",4.0,"The article is highly relevant to Lee Jung-jae as it discusses ""Squid Game"" Season 2 winning a major award. Lee Jung-jae is the lead actor in ""Squid Game,"" playing the main character Seong Gi-hun, which directly relates to his work as an actor. While the article doesn't explicitly mention Lee Jung-jae by name, the success of ""Squid Game"" is directly connected to his career and professional achievements. The context aligns with his primary occupation as an actor. The score is 4 rather than 5 only because Lee Jung-jae is not specifically named in the article text provided."
https://www.koreaherald.com/article/10415717,Squid Game 2 named Best Foreign Language Series at Critics Choice,2025-02-09,https://wimg.heraldcorp.com/news/cms/2025/02/09/news-p.v1.20250209.52cdde72401645298d390dc4584de113_T1.jpg?type=h&h=240,"Netflix's Korean original series ""Squid Game"" Season 2 has won the Best Foreign Language Series award at the 30th annual Critics Choice Awards, its website showed Sunday.
The Critics Choice Association announced the winner in Los Angeles on Friday (local time), marking the second time the popular se...",leejungjae,Korea Herald,"{'originalSource': 'Korea Herald', 'originalUrl': 'https://www.koreaherald.com/article/10415717', 'publicationDate': '2025-02-09', 'accessDate': '2025-02-27T12:04:38.599571', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",4.0,"The article is highly relevant to Lee Jung-jae as it discusses ""Squid Game"" Season 2 winning a major award. Lee Jung-jae is the lead actor in ""Squid Game,"" playing the main character Seong Gi-hun. While the article excerpt doesn't explicitly mention Lee Jung-jae by name, it directly concerns a production that represents his most internationally recognized acting work. The content aligns with his career as an actor, though it doesn't specifically address his work as a director, model, or businessman. The article loses one point only because it doesn't directly name Lee Jung-jae despite being about a project central to his acting career."
https://www.koreaherald.com/article/10409223,'Squid Game' season 3 to premiere on Netflix on June 27,2025-01-31,https://wimg.heraldcorp.com/news/cms/2025/01/31/news-p.v1.20250131.355ea0c7f5534a87bd3e218e963ac2ef_T1.jpg?type=h&h=240,"Netflix releases poster, first-look images of final season
Netflix has officially announced June 27 as the premiere date for the highly anticipated third season of ""Squid Game.""
According to the streaming service, season three will thrust Ki-hun (Lee Jung-jae) into a relentless fight for survival fo...",leejungjae,Korea Herald,"{'originalSource': 'Korea Herald', 'originalUrl': 'https://www.koreaherald.com/article/10409223', 'publicationDate': '2025-01-31', 'accessDate': '2025-02-27T12:04:38.600423', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",5.0,"The article directly mentions Lee Jung-jae by name, identifying him as the actor who plays the character Ki-hun in ""Squid Game."" The content specifically relates to his work as an actor in this Netflix series, with the announcement of the premiere date for the third season in which he appears. This perfectly matches his occupation as a male actor, which is his primary professional role mentioned in the query."
https://www.koreaherald.com/article/10401454,'Squid Game' art director says participants nearly wore sky blue uniforms,2025-01-17,https://wimg.heraldcorp.com/news/cms/2025/01/18/news-p.v1.20250117.75f20f8ac2aa4d20b67af220d390c21f_T1.jpg?type=h&h=240,"Creative directors of 'Squid Game' say they aimed for continuity between first, second season
The creative minds behind the second season of ""Squid Game"" offered an in-depth look into the artistic, musical and cinematographic choices that shaped the show's most recent chapter, revealing some behind-...",leejungjae,Korea Herald,"{'originalSource': 'Korea Herald', 'originalUrl': 'https://www.koreaherald.com/article/10401454', 'publicationDate': '2025-01-17', 'accessDate': '2025-02-27T12:04:38.601364', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",4.0,"The article is highly relevant to Lee Jung-jae as it discusses ""Squid Game,"" the Netflix series in which he stars as the main protagonist Seong Gi-hun. While the article doesn't explicitly mention Lee Jung-jae by name in the excerpt provided, it focuses on the creative direction and production aspects of both seasons of the show that represents his most internationally recognized acting work. The article discusses artistic choices that would directly impact his character's presentation on screen. As the lead actor in ""Squid Game,"" content about the show's production design and creative direction is professionally relevant to Lee Jung-jae's career as an actor."
https://www.koreaherald.com/article/10382632,Director of 'Squid Game' 2 expected criticism,2025-01-05,https://wimg.heraldcorp.com/news/cms/2025/01/03/news-p.v1.20250103.9256517d715d452eb5b3eb33b896139a_T1.jpg?type=h&h=240,"Reflecting on modern society, Hwang Dong-hyuk emphasizes anger should be aimed “upward” — at masterminds behind system
The second season of Netflix’s global juggernaut ""Squid Game"" has sparked debate since its release, dividing critics and fans alike.",leejungjae,Korea Herald,"{'originalSource': 'Korea Herald', 'originalUrl': 'https://www.koreaherald.com/article/10382632', 'publicationDate': '2025-01-05', 'accessDate': '2025-02-27T12:04:38.602904', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",3.0,"The article discusses ""Squid Game"" season 2, a Netflix series in which Lee Jung-jae stars as the main protagonist. While Lee Jung-jae is not directly mentioned in the excerpt provided, the article is about a production he is prominently involved in as an actor. The article focuses on director Hwang Dong-hyuk's perspective on criticism of the second season rather than specifically on Lee Jung-jae's performance or involvement. This makes it moderately relevant to Lee Jung-jae in his capacity as an actor, but not directly focused on him or his other professional roles as director, model, or businessman."
https://www.koreaherald.com/article/10032591,'Squid Game' Season 2 tops global Netflix chart one day after its release,2024-12-28,https://wimg.heraldcorp.com/news/cms/2024/12/28/news-p.v1.20241228.771079748cba49c79714c65de8ced8c3_T1.jpg?type=h&h=240,"Netflix's ""Squid Game"" Season 2 has ranked No. 1 on a global popularity chart for TV shows available on the streaming giant, just one day after its release, data showed.
Netflix's Korean original series ""Squid Game"" Season 2 topped streaming analytics website FlixPatrol's global chart for top TV sho...",leejungjae,Korea Herald,"{'originalSource': 'Korea Herald', 'originalUrl': 'https://www.koreaherald.com/article/10032591', 'publicationDate': '2024-12-28', 'accessDate': '2025-02-27T12:04:38.603610', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",3.0,"The article discusses ""Squid Game"" Season 2 reaching #1 on Netflix's global chart shortly after release. While Lee Jung-jae is the lead actor in ""Squid Game"" (playing Seong Gi-hun), he is not specifically mentioned in the provided article excerpt. However, the article is moderately relevant to Lee Jung-jae as it directly concerns a major production that features him in a starring role, which relates to his work as an actor. Without explicit mention of Lee Jung-jae in the text, the relevance score is reduced despite the article being about a project he is prominently involved in."
https://www.koreaherald.com/article/10031578,Hype grows for season 2 of 'Squid Game',2024-12-26,https://wimg.heraldcorp.com/news/cms/2024/12/26/news-p.v1.20241226.4cff8ca219d44dc3a56c8cebb334c949_T1.jpg?type=h&h=240,"Two passersby look on at a replica of a famous doll featured in Netflix's hit series ""Squid Game,"" in Seoul's Gwanghwamun Square on Thursday afternoon, hours prior to the global release of the series' second season.",leejungjae,Korea Herald,"{'originalSource': 'Korea Herald', 'originalUrl': 'https://www.koreaherald.com/article/10031578', 'publicationDate': '2024-12-26', 'accessDate': '2025-02-27T12:04:38.604354', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",3.0,"The article discusses the upcoming second season of ""Squid Game,"" a Netflix series in which Lee Jung-jae stars as the main protagonist Seong Gi-hun. While Lee Jung-jae is not explicitly mentioned in this brief article excerpt, the content is directly related to a major project in his acting career. As the lead actor of ""Squid Game,"" the hype surrounding the show's second season is relevant to his work as an actor, though the article itself focuses on promotional displays rather than his specific contribution to the series."
https://www.koreaherald.com/article/10022914,'Squid Game' season 2: Key insights and what’s coming next,2024-12-25,https://wimg.heraldcorp.com/news/cms/2024/12/25/news-p.v1.20241224.f7a4bac5279d49f7b80c84749e944950_T1.jpg?type=h&h=240,"Netflix’s towering tentpole of 2024, the second season of “Squid Game,” hits the global platform on Thursday, catapulting viewers back into the labyrinth of life-or-death games that enthralled audiences worldwide three years ago.",leejungjae,Korea Herald,"{'originalSource': 'Korea Herald', 'originalUrl': 'https://www.koreaherald.com/article/10022914', 'publicationDate': '2024-12-25', 'accessDate': '2025-02-27T12:04:38.605150', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",4.0,"The article is highly relevant to Lee Jung-jae as it discusses the second season of ""Squid Game,"" the Netflix series in which Lee Jung-jae stars as the main protagonist. While the article excerpt doesn't explicitly mention Lee Jung-jae by name, it directly relates to his work as an actor in what became his most internationally recognized role. ""Squid Game"" was instrumental in elevating Lee Jung-jae's global profile as an actor. The article's focus on the show's upcoming season directly pertains to his professional acting career, making it significantly relevant to him, though not at the maximum level since he isn't personally named in this excerpt."
https://www.koreaherald.com/article/10016813,Shares linked to Lee Jung-jae soar following 'Squid Game' Golden Globe nomination,2024-12-10,https://wimg.heraldcorp.com/content/default/2024/12/10/20241210050094_0.jpg?type=h&h=240,"Shares linked with South Korean actor Lee Jung-jae are soaring after the announcement that ""Squid Game 2"" has been nominated for Best Television Series at the Golden Globes, ahead of its release.
As of Wednesday, shares of Artist United— Lee's agency in which he is the largest shareholder with a 23.",leejungjae,Korea Herald,"{'originalSource': 'Korea Herald', 'originalUrl': 'https://www.koreaherald.com/article/10016813', 'publicationDate': '2024-12-10', 'accessDate': '2025-02-27T12:05:11.651769', 'policyCompliance': True, 'policyVersion': 'February 26, 2025', 'fairUseJustification': 'Informational excerpt for historical timeline tracking', 'aiAssisted': True, 'aiDisclosure': ""Information processed with AI assistance in compliance with EHCO's Copyright and Attribution Policy""}",5.0,"The article directly mentions Lee Jung-jae by name and discusses how shares of Artist United, where he is identified as the largest shareholder (23%), have increased following ""Squid Game 2"" Golden Globe nomination. This directly relates to both his career as an actor (through the ""Squid Game"" connection) and his business activities (as a major shareholder in the entertainment agency). The article correctly identifies him as a male South Korean actor, which matches the provided demographic information."
