title,url,date,content,thumbnail,celebrity,status
Singer IU's social media bombarded with negative comments after President Yoon's arrest,https://koreajoongangdaily.joins.com/news/2025-01-16/national/socialAffairs/Singer-IUs-social-media-bombarded-with-negative-comments-after-President-Yoons-arrest/2224066,2025-01-16,"Following President Yoon Suk Yeol’s arrest by the Corruption Investigation Office for High-ranking Officials (CIO) on Wednesday, singer IU continues to garner negative comments on social media.",https://koreajoongangdaily.joins.com/data/photo/thumbnail/2025/01/16/a9d89c33-8cf5-485b-9261-55548f616a49.jpg,iu,CURRENT
TWS's 'Plot Twist' tops Melon's streaming chart for 2024,https://koreajoongangdaily.joins.com/news/2025-01-09/entertainment/kpop/TWSs-Plot-Twist-tops-Melons-streaming-chart-for-2024/2219033,2025-01-09,"'Last Bell' — in pictures Boy band TWS announced as brand ambassador for fashion brand Celine   ""Plot Twist"" sat atop the annual streaming chart for 2024, followed by (G)I-DLE's ""Fate"" (2024), aespa's ""Supernova"" (2024) and ""Love Wins All"" (2024) by IU",https://koreajoongangdaily.joins.com/data/photo/thumbnail/2025/01/09/6227fefc-21de-4820-9e2e-b33fd2cc0483.jpg,iu,CURRENT
Winners of the 39th Golden Disc Awards in Fukuoka — in pictures,https://koreajoongangdaily.joins.com/news/2025-01-05/entertainment/kpop/Winners-of-the-39th-Golden-Disc-Awards-in-Fukuoka--in-pictures/2215414,2025-01-05,"Separately, the Best Digital Song award was given to 10 groups and solo artists — NewJeans, DAY6, BIBI, IVE, IU, ILLIT, aespa, Taeyeon, TWS and (G)I-DLE.",https://koreajoongangdaily.joins.com/data/photo/thumbnail/2025/01/05/016f5abd-8fef-4fda-a50c-55d59ea2f50d.jpg,iu,CURRENT
IU concert film 'IU Concert: The Winning' to premiere in January,https://koreajoongangdaily.joins.com/news/2024-12-27/entertainment/kpop/IU-concert-film-IU-Concert-The-Winning-to-premiere-in-January/2210586,2024-12-27,"Film “IU Concert: The Winning” will showcase the singer’s Seoul encore concerts, “Hereh Encore : The Winning,” of her first-ever world tour held at the World Cup Stadium in western Seoul on Sept. 21 and 22.",https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/12/29/4e58455b-1311-4990-a16d-d485b8c8e271.jpg,iu,CURRENT
"IU donates 500 million won to eight charities, hospitals",https://koreajoongangdaily.joins.com/news/2024-12-25/national/socialAffairs/IU-donates-500-million-won-to-eight-charities-hospitals/2208832,2024-12-25,"Singer and actor IU donated 500 million won ($343,104) to eight different charities and hospitals, continuing her tradition of generous giving.",https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/12/25/8656220d-9739-4ecb-9284-cffe6abf5f36.jpg,iu,CURRENT
Lee Seung-hwan concert canceled due to 'safety concerns' over singer's pro-impeachment stance,https://koreajoongangdaily.joins.com/news/2024-12-23/national/socialAffairs/Lee-Seunghwan-concert-canceled-due-to-safety-concerns-over-singers-proimpeachment-stance/2207208,2024-12-23,Related Article Lee Seung-hwan defends concert amid conservative pressure Singer Lee Seung-hwan to go ahead with scheduled shows as martial law lifted Yoon supporters boycott brands advertised by IU over pro-impeachment stance IU and Yuri provide free,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/12/23/5c92fbfe-9560-469b-a828-ee06226a6093.jpg,iu,CURRENT
A 'bite' of a surprise as IU reveals she has Skeeter syndrome,https://koreajoongangdaily.joins.com/news/2024-12-20/entertainment/kpop/A-bite-of-a-surprise-as-IU-reveals-she-has-Skeeter-syndrome/2205554,2024-12-20,"IU recently revealed on a YouTube show that she suffers from Skeeter syndrome.   “I get sick when I get bitten by a mosquito,” said IU, who also goes by her legal name Lee Ji-eun as an actor, on the YouTube channel ""You in Radio"" run by actor Yoo In-na. The video, in which she appeared as a guest, was uploaded on Thursday. “It causes blisters and hurts so bad that I have to take painkillers. It’s like a mosquito allergy.”   Related Article crowned as Korea's No. 1 artist by Billboard Yoon supporters boycott brands advertised by over pro-impeachment stance and Byeon Woo-seok to lead new MBC romance series Skeeter syndrome is an allergic reaction to the saliva of a mosquito, causing large areas of swelling and warmth. There is no particular treatment for the condition currently.   “Mosquitoes always bite near my face, leaving scars. The areas where I was bitten as a child remain dead. I can poke those spots with needles, and they don’t hurt at all.”   The singer said the affliction is why she dislikes “mosquito more than cockroaches.”   Individuals who suffer from Skeeter syndrome must seek immediate medical attention if they experience difficulty breathing or dizziness. The syndrome could lead to anaphylactic shock, which could be fatal.   In the 54-minute video, the singer also revealed that she composed the song featured in Yoo's YouTube videos. On the channel, actor Yoo invites guests to join her for conversations that resemble a radio show format.   Debuting in 2008, has become one of Korea's most renowned solo artists, with hit songs like ""Good Day"" (2010), ""YOU&I"" (2011), ""The Red Shoes"" (2013), ""Through the Night"" (2017) and ""Lilac"" (2021). She was recently named Korea’s No. 1 artist in Billboard’s “Global No. 1s” series.   The Netflix series “When Life Gives You Tangerines,” starring alongside Park Bo-gum, is set to be released next year. is also set to take on a lead role in MBC’s upcoming drama, tentatively titled “Wife of a 21st Century Prince.”   To find out more about , visit Celeb Confirmed!               BY JUNG SI-NAE, WOO JI-WON [woo.jiwon@joongang.co.kr]Korea Yoo In Radio",https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/12/22/56958cb0-4331-46d2-a5d2-9b533ccfab7f.jpg,iu,CURRENT
Taking to the streets: The evolution of Korea's rally culture,https://koreajoongangdaily.joins.com/news/2024-12-20/culture/features/Taking-to-the-streets-The-evolution-of-Koreas-rally-culture/2204443,2024-12-20,"However, singer IU and members of Girls’ Generation prepaid for large amounts of food and beverages at nearby establishments for protesters to receive.   “Is everyone doing well in this cold weather?",https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/12/22/109c6250-6c53-4289-b79d-2a71e8ad2019.jpg,iu,CURRENT
IU’s plagiarism accuser ordered to pay 30 million won in compensation,https://koreajoongangdaily.joins.com/news/2024-12-19/entertainment/kpop/IUs-plagiarism-accuser-ordered-to-pay-30-million-won-in-compensation/2204409,2024-12-19,"The person who falsely accused IU of plagiarism has been ordered to pay the singer 30 million won ($21,000) in compensation, a local court ruled Wednesday.",https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/12/19/98006ca8-c74e-44b6-ae5a-b0cdcf1c6618.jpg,iu,CURRENT
"NewJeans, Yoo Jae-suk named public's favorite advertisement models of 2024",https://koreajoongangdaily.joins.com/news/2024-12-18/business/industry/NewJeans-Yoo-Jaesuk-named-publics-favorite-advertisement-models-of-2024/2203947,2024-12-18,Consumers in their 40s said they liked actor Gong Yoo and singer-songwriter IU while those in their 60s enjoyed seeing football star Son Heung-min in their ads.,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/12/19/8689c907-6638-4856-95c2-222a6aadef60.jpg,iu,CURRENT
Yoon supporters boycott brands advertised by IU over pro-impeachment stance,https://koreajoongangdaily.joins.com/news/2024-12-18/entertainment/kpop/Yoon-supporters-boycott-brands-advertised-by-IU-over-proimpeachment-stance/2203610,2024-12-18,Advocates of Korea's far right are boycotting singer IU for expressing support for President Yoon Suk Yeol's impeachment.,https://koreajoongangdaily.joins.com/data/photo/thumbnail/2024/12/18/1b3105f8-cd11-4d2a-b242-11580bfcf5d9.jpg,iu,CURRENT
